age,fsr
339,0.854555316
338.5,0.85815902
338,0.861625303
337.5,0.864917161
337,0.867998377
336.5,0.870834328
336,0.873392725
335.5,0.875644278
335,0.877563259
334.5,0.879128001
334,0.880321278
333.5,0.88113058
333,0.881548233
332.5,0.881571421
332,0.881202113
331.5,0.880446915
331,0.879316842
330.5,0.877826987
330,0.875996085
329.5,0.873845984
329,0.871401113
328.5,0.868687973
328,0.865734669
327.5,0.862570444
327,0.859225243
326.5,0.855729312
326,0.852112851
325.5,0.848405717
325,0.844637172
324.5,0.840835622
324,0.837028312
323.5,0.833241003
323,0.829497651
322.5,0.825820096
322,0.822227771
321.5,0.818737452
321,0.815363063
320.5,0.812115535
320,0.80900275
319.5,0.806029575
319,0.803197973
318.5,0.800507184
318,0.797953982
317.5,0.795532985
317,0.793237005
316.5,0.791057407
316,0.788984488
315.5,0.787007832
315,0.785116674
314.5,0.78330022
314,0.781547966
313.5,0.779849962
313,0.778197051
312.5,0.776581065
312,0.774994995
311.5,0.773433148
311,0.771891274
310.5,0.770366685
310,0.768858339
309.5,0.767366895
309,0.765894705
308.5,0.764445783
308,0.763025733
307.5,0.761641647
307,0.760301968
306.5,0.759016308
306,0.757795231
305.5,0.756650002
305,0.755592349
304.5,0.754634234
304,0.753787658
303.5,0.753064462
303,0.752476127
302.5,0.752033582
302,0.751747016
301.5,0.751625715
301,0.751677912
300.5,0.751910648
300,0.752329635
299.5,0.752939119
299,0.753741752
298.5,0.754738488
298,0.755928508
297.5,0.757309172
297,0.758876024
296.5,0.76062283
296,0.762541656
295.5,0.764622996
295,0.766855964
294.5,0.76922854
294,0.771727869
293.5,0.77434059
293,0.777053183
292.5,0.779852321
292,0.782725214
291.5,0.785659938
291,0.788645744
290.5,0.791673315
290,0.79473496
289.5,0.797824731
289,0.800938466
288.5,0.804073762
288,0.807229876
287.5,0.810407528
287,0.813608606
286.5,0.816835781
286,0.820092034
285.5,0.823380163
285,0.82670233
284.5,0.830059652
284,0.833451845
283.5,0.836876959
